50 Cent|60 Cent|1975-07-06
Karyn Kusama|Karen Kusami|1968-03-21
Kasi Lemmons|Kara Lemmert|1961-02-24
Kasia Smutniak|Kalina Smigniak|1979-08-13
Kassie Wesley DePaiva|Karrie Wheatley DeParra|1961-03-21
Kat Coiro|Kate Coroi|19xx
Kat Dennings|Kate Donnings|1986-06-13
Kate Ashfield|Kath Aschfeld|1972-05-28
Kate Beahan|Kath Beanham|1974-10-12
Kate Beckinsale|Kay Backdoorsale|1973-07-26
Kate Bosworth|Kara Basworth|1983-01-02
Kate Burton|Kate Blurty|1957-09-10
Kate Bush|Kath Blush|1958-07-30
Kate Capshaw|Kate Capshave|1953-11-03
Kate Dickie|Kara Dickson|1971-07-04
Kate Hardie|Kay Hardin|1969-04-26
Kate Hodge|Kath Hotch|1966-01-02
Kate Hudson|Kathy Huttsen|1979-04-19
Kate Jackson|Kath Jacklin|1948-10-29
Kate Maberly|Kay Marlowie|1982-03-14
Kate Mara|Cate Maura|1983-02-27
Kate McKinnon|Kate McKinnlang|1984-01-06
Kate Nauta|Kara Nauton|1982-04-29
Kate Nelligan|Kathy Nulligen|1950-03-16
Kate Reid|Cate Rayd|1930-11-04 – 1993-03-27
Kate Upton|Kara Uptown|1992-06-10
Kate Winslet|Kathy Windsled|1975-10-05
Katee Sackhoff|Kara Sackheft|1980-04-08
Katey Sagal|Kathy Seagall|1954-01-19
Katharina Brauren|Karolina Brauregen|1910-04-21 – 1998-12-25
Katharina Hirschberg|Karolina Pirschberg|2001
Katharina Kaali|Karolina Kreeli|1977-07-18
Katharina Thalbach|Karolina Thurmbach|1954-01-19
Katharine Hepburn|Catherine Hipturn|1907-05-12 – 2003-06-29
Katharine Ross|Cathy Horse|1940-01-29
Katherine Heigl|Kathleen Huegl|1978-11-24
Katherine Helmond|Katrina Hellund|1929-07-05 – 2019-02-23
Katherine Laheen|Kathleen Lahone|
Katherine Langford|Katharina Lengforth|1996
Katherine Waterston|Kathleen Wettersten|1980-03-03
Katheryn Winnick|Karen Winholm|1977-12-17
Kathleen Beller|Kathryn Billsen|1956-02-19
Kathleen Byron|Kathryn Byram|1921-01-11 – 2009-01-18
Kathleen Freeman|Katherine Freimann|1919-02-17 – 2001-08-23
Kathleen Munroe|Kathryn Moonrowe|1982-04-09
Kathleen Quinlan|Kathryn Queenland|1954-11-19
Kathleen Turner|Catherine Toerner|1954-06-19
Kathleen Wilhoite|Kathy Welhaute|1964-06-29
Kathrin Ackermann|Katja Ackerfeld|1939-01-30
Kathrin Oginski|Katja Ocklimski|1926-09-14 – 2009-04-17
Kathrine Narducci|Kathleen Nurdacci|1965-11-22
Kathryn Bigelow|Kathleen Biggerow|1951-11-27
Kathryn Crosby|Karen Crispy|1933-11-25 – 2024-09-20
Kathryn Hahn|Karyn Huhne|1973-07-23
Kathryn Harrold|Kathleen Herold|1950-08-02
Kathryn Hunter|Karen Haunting|1957-04-09
Kathryn McCormick|Kathleen MacCorbin|1990-07-07
Kathryn Newton|Kathleen Newman|1997-02-08
Kathryn Walker|Karyn Walking|1943-01-09
Kathy Baker|Kathleen Becker|1950-06-08
Kathy Bates|Kathryn Gates|1948-06-28
Kathy Fields|Katey Felds|1947-01-05
Kathy Ireland|Kathleen Eire|1963-03-20
Kathy Najimy|Katy Naymie|1957-02-06
Kathy Wu|Katie Woo|
Kati Outinen|Kara Oinonen|1961-08-17
Katie Cassidy|Kathy Casserole|1986-11-25
Katie Featherston|Kara Fethersten|1982-10-20
Katie Holmes|Cathy Halms|1978-12-18
Katie Jarvis|Kathy Jardens|1991-06-22
Katie Maguire|Kathy Macquire|
Katie Sarife|Kathy Serifen|1993-07-01
Katie Sereika|Kathy Seirenka|
Katja Bienert|Kathrin Bienlein|1966-09-01
Katja Flint|Katrin Flink|1959-11-11
Katja Kolm|Kaja Kulm|1974
Katja Riemann|Kaja Riement|1963-11-01
Katja Rupé|Katrin Ropé|1949-09-18
Katrin Sass|Katja Suss|1956-10-23
Katrina Bowden|Katherine Bowding|1988-09-19
Katrina Kaif|Karina Kael|1983-07-16
Katsuhiro Ôtomo|Katsuhiko Ōtori|1954-04-14
Katsuhito Ishii|Katsuhiro Ishio|1966-12-31
Katsunori Takahashi|Katsunari Takahari|1964-12-15
Katt Shea|Kara Sheer|1957
Katy Jurado|Kathy Jurando|1924-01-16 – 2002-07-05
Katy O'Brian|Kathy O'Byron|1989-02-12
Katy Perry|Kathy Percy|1984-10-25
Kay Lenz|Kim Lanz|1953-03-04
Kay Medford|Kim Meshforth|1919-09-14 – 1980-04-10
Kay Pollak|Kim Pollent|1938-05-21
Kay Thompson|Kim Thumpsen|1909-11-09 – 1998-07-02
Kay Walsh|Kim Welsh|1911-08-27 – 2005-04-16
Kaya Scodelario|Kayla Scadolireo|1992-03-13
Kayije Kagame|Kalina Kangome|1987
Kazuhisa Takenouchi|Kazuaki Takemori|
Kazuma Kawamura|Kaito Kawanuri|1997-01-07
Kazunori Itô|Kazuoki Inō|1954-12-24
Kazuya Tsurumaki|Kazuo Tsurumine|1966-02-02
Ke Huy Quan|Kenji Qian|1971-08-20
Keanu Reeves|Kenoa Reels|1964-09-02
Keean Johnson|Kieran Jameson|1996-10-25
Keegan Allen|Kegan Alley|1989-07-22
Keegan-Michael Key|Kieran-Michael Kite|1971-03-22
Keenan Wynn|Kimble Wymme|1916-07-27 – 1986-10-14
Keenen Ivory Wayans|Kevin Ivory Waydanz|1958-06-08
Kei Horie|Kai Horen|1978-10-04
Keiji Nakazawa|Keiju Nakazato|1939-03-14 – 2012-12-19
Keiko Nobumoto|Kenko Nobutoki|1964-03-13 – 2021-12-01
Keiko Tsushima|Kenko Tsushimi|1926-02-07 – 2012-08-01
Keir Dullea|Kier Dallye|1936-05-30
Keir Gilchrist|Kier Gelkrist|1992-09-28
Keir O'Donnell|Kier O'Donald|1978-11-08
Keira Knightley|Kyra Nighteley|1985-03-26
Keith Carradine|Kyle Carrabine|1949-08-08
Keith Coogan|Kyle Cooger|1970-01-13
Keith David|Ken Davy|1956-06-04
Keith Fulton|Ken Furlent|1965-10-17
Keith Gordon|Kyle Garden|1961-02-03
Keith L. Williams|Keen L. Wilhelms|2007-05-21
Keith Thomas|Ken Tobias|1975
Keith Vitali|Kyle Vitore|19xx
Keke Palmer|Kiki Palmen|1993-08-26
Kelby Anno|Kellan Annu|
Kellan Lutz|Kallen Lotz|1985-03-15
Kellie Bright|Kendra Bryte|1976-07-01
Kelly Asbury|Kerry Asberry|1960-01-15 – 2020-06-26
Kelly Bishop|Kaylee Bischof|1944-02-27
Kelly Carlson|Kaley Curtson|1976-02-17
Kelly Chen|Kerry Chan|1972-09-13
Kelly Fremon Craig|Kelsey Freimund Crack|1980-05-28
Kelly Hu|Kayla Ho|1968-02-13
Kelly Jo Minter|Kelsey Jo Minton|1966-09-24
Kelly LeBrock|Kaylee LaBruck|1960-03-24
Kelly Lynch|Kaylee Lunch|1959-01-31
Kelly Macdonald|Kelsey Macdonut|1976-02-23
Kelly Makin|Kelsey Machen|
Kelly McGillis|Kerri MacGrilles|1957-07-09
Kelly Overton|Kerry Oberon|1978-08-28
Kelly Packard|Kaylee Packit|1975-01-29
Kelly Preston|Kayla Pressing|1962-10-13 – 2020-07-12
Kelly Reilly|Kelsey Really|1977-07-18
Kelly Rohrbach|Kayla Rohrmann|1990-01-21
Kelly Rowan|Kaylee Rowland|1965-10-26
Kelly Rowland|Kaylee Rowan|1981-02-11
Kelly Rutherford|Kaley Rusherforth|1968-11-06
Kelly Stables|Kaley Staelles|1978-01-26
Kelly Thornton|Kelsey Tonthorn|1997-04-13
Kelly Ward|Kaley Weird|1956-11-17
Kelly Yu|Kayla Yi|1989-11-07
Kelsey Asbille|Kestie Asbourne|1991-09-09
Kelsey Grammer|Kenneth Graham|1955-02-21
Kelvin Harrison Jr.|Kevin Harrelsen Jr.|1994-07-23
Ken Annakin|Kim Anaken|1914-08-10 – 2009-04-22
Ken Berry|Kim Beery|1933-11-03 – 2018-12-01
Ken Burns|Kerr Buns|1953-07-29
Ken Davitian|Kim Devidian|1953-06-19
Ken Duken|Kent Duking|1979-04-17
Ken Finkleman|Kent Finkelmann|1946
Ken Foree|Kim Foray|1948-02-29
Ken Hughes|Kyle Hulls|1922-01-19 – 2001-04-28
Ken Jeong|Kent Jian|1969-07-13
Ken Kercheval|Kim Karzeval|1935-07-15 – 2019-04-21
Ken Kirzinger|Kim Kirschinger|1959-11-04
Ken Kwapis|Kyle Kwanis|1957-08-17
Ken Leung|Kim Leng|1970-01-21
Ken Marshall|Kim Marshman|1950-06-27
Ken Miles|Kim Meters|1918-11-01 – 1966-08-17
Ken Olandt|Kim Oedland|1958-04-22
Ken Russell|Kim Ruessel|1927-07-03 – 2011-11-27
Ken Stott|Kyle Stumm|1954-10-19
Ken Watanabe|Kim Watanuki|1959-10-21
Ken Wiederhorn|Kim Wiederhupe|1945
Kendle Coffey|Kendra Colley|
Kendrick Sampson|Kent Simpson|1988-03-08
Kennedi Clements|Kendra E. Carstens|2007-01-21
Kenneth Anger|Kenneth Angryer|1927-02-03 – 2023-05-11
Kenneth Branagh|Kevin Bronagh|1960-12-10
Kenneth Colley|Kevin Cowley|1937-12-07 – 2025-06-30
Kenneth Cranham|Kevin Cronhemm|1944-12-12
Kenneth Griffith|Kenny Grabbit|1921-10-12 – 2006-06-25
Kenneth Johnson|Kevin Jameson|1942-10-26
Kenneth Lonergan|Kelsey Lorrigan|1962-10-16
Kenneth MacDonald|Kenny MacDonut|1901-09-08 – 1972-05-05
Kenneth Mars|Kevin Venus|1935-04-04 – 2011-02-12
Kenneth More|Kelsey Muire|1914-09-20 – 1982-07-12
Kenneth Tobey|Kevin Tolby|1917-03-23 – 2002-12-22
Kenneth Welsh|Kevin Walsh|1942-03-30 – 2022-05-05
Kenny Baker|Kenneth Becker|1934-08-24 – 2016-08-13
Kenny Loggins|Kevin Leggins|1948-01-07
Kenny Morrison|Kelvin Morrisand|1974-12-31
Kenny Ortega|Kelvin Orrego|1950-04-18
Kent Cheng|Kurt Cheung|1951-05-23
Kent McCord|Kurt McKent|1942-09-26
Kent Smith|Kurt Swift|1907-03-19 – 1985-04-23
Kentucker Audley|Kentoner Aulden|1981
Keri Lynn Pratt|Kerri Lynn Pritt|1978-09-23
Keri Russell|Kira Ruessel|1976-03-23
Kerr Smith|Karr Swift|1972-03-09
Kerri Green|Kelly Gray|1967-01-14
Kerry Condon|Kelly Comdon|1983-01-09
Kerry Fox|Kelly Fux|1966-07-30
Kerry O'Malley|Kelly O'Maren|1969-09-05
Kerry Washington|Kelly Wellington|1977-01-31
Kerwin Mathews|Kellan Matthias|1926-01-08 – 2007-07-05
Kestie Morassi|Kelsey Morasty|1978-08-09
Kevin Anderson|Kelvin Andresen|1960-01-13
Kevin Bacon|Kelvin Balcony|1958-07-08
Kevin Bernhardt|Kelvin Bernard|1961-04-02
Kevin Bishop|Kelvin Bischof|1980-06-18
Kevin Blair Spirtas|Kenny Blair Sprittas|1963-07-29
Kevin Connolly|Kelvin Collony|1974-03-05
Kevin Connor|Kenny Connell|1937-09-24
Kevin Costner|Kelvin Costnix|1955-01-18
Kevin Dillon|Kenneth Dillsen|1965-08-19
Kevin Dobson|Kenneth Dobber|1943-03-18 – 2020-09-06
Kevin Dunn|Kenny Duenn|
Kevin Dunn|Kenny Duenn|1956-08-24
Kevin Durand|Kenny Dumont|1974
Kevin Eldon|Kenny Eldric|1960-10-03
Kevin Goetz|Kenny Glotz|
Kevin Greutert|Kenny Graeusert|1965-03-31
Kevin Grevioux|Kenny Greville|1962-09-09
Kevin Guthrie|Kenny Gothry|1988-11-28
Kevin Hart|Kenneth Harsh|1979-07-06
Kevin Heffernan|Kenny Hafernan|1968-05-25
Kevin Hooks|Kelvin Hucks|1958-09-19
Kevin J. O'Connor|Kenny J. O'Connell|1963-11-15
Kevin Jamal Woods|Kelvin Joel Woolfs|
Kevin James|Kenny Jones|1965-04-26
Kevin Kline|Kelvin Kleyn|1947-10-24
Kevin Lee|Kenny Li|1981
Kevin Lima|Kelvin Lurin|1962-06-12
Kevin Macdonald|Kenny Macdonut|1967-10-28
Kevin McCarthy|Kenneth McCanny|1914-02-15 – 2010-09-11
Kevin McKidd|Kenny MacKit|1973-08-09
Kevin McNally|Kenny McNellie|1956-04-27
Kevin Munroe|Kenny Moonrowe|1972-10-26
Kevin Nash|Kenny Nosh|1959-07-09
Kevin Peter Hall|Kevin Peter Mall|1955-05-09 – 1991-04-10
Kevin Pollak|Kelvin Pollent|1957-10-30
Kevin Reynolds|Kenny Raynmolds|1952-01-17
Kevin Rodney Sullivan|Kelvin Rodney Sollivan|1958-08-03
Kevin Smith|Kevin Swift|1970-08-02
Kevin Sorbo|Kelvin Serbo|1958-09-24
Kevin Spacey|Kevin Specki|1959-07-26
Kevin Sussman|Kenny Suessmuth|1970-12-04
Kevin T. Carroll|Kellan T. Corall|1969-09-06
Kevin Tighe|Kenneth Thighe|1944-08-13
Kevin Zegers|Kenny Zelners|1984-09-19
Kevyn Major Howard|Kevyn Minor Harvey|1956-01-27 – 2025-02-14
Khandi Alexander|Khandace Alexandro|1957-09-04
Khleo Thomas|Khalid Tobias|1989-01-30
Khris Davis|Kalen Davids|1985
Khrystyne Haje|Khrystyna Haja|1968-12-21
Ki-hong Lee|Ky-hun Li|1986-09-30
Kiana Madeira|Kianna Medina|1992-11-04
Kiara Barnes|Kiana Burnes|1995-06-20
Kid Cudi|Kyle Cudos|1984-01-30
Kid Rock|Kidd Rawk|1971-01-17
Kiefer Sutherland|Keith R. Sufferhand|1966-12-21
Kiele Sanchez|Kira Suarez|1977-10-13
Kieran Culkin|Kieren Caulkind|1982-09-30
Kiersey Clemons|Kelsey Clennan|1993-12-17
Kierston Wareing|Kristen Wareon|1976-01-07
Kihachi Okamoto|Kisho Okamuro|1923-02-17 – 2005-02-19
Kiki Dee|Keke Di|1947-03-06
Kiki Layne|Kina Leyn|1991-12-10
Kim Bartley|Ken Berkley|
Kim Basinger|Kay Bassringer|1953-12-08
Kim Bodnia|Kaj Bosnea|1965-04-12
Kim Cattrall|Kay Cattrelle|1956-08-21
Kim Coates|Ken Cates|1958-02-21
Kim Darby|Ken Darcy|1947-07-08
Kim Delaney|Kay Delooney|1961-11-29
Kim Dickens|Kim Dickers|1965-06-18
Kim Director|Kay Direction|1974-11-13
Kim Greist|Kay Grost|1958-05-12
Kim Henkel|Ken Hinkler|1946-01-19
Kim Hunter|Kay Haunting|1922-11-12 – 2002-09-11
Kim Kardashian|Kim Kalashian|1980-10-21
Kim Myers|Kay Meyrs|1966-02-15
Kim Novak|Kim Newack|1933-02-13
Kim S. Falck-Jørgensen|Kian S. Følck-Josefsen|1983-11-10
Kimberly Beck|Karlene Eve Back|1956-01-09
Kimberly Elise|Katrina Eliza|1967
Kimberly Hébert Gregory|Katrina Hélie Gorgory|1972-12-07 – 2025-10-03
Kimberly J. Brown|Kylie E. Braun|1984-11-16
Kimberly Peirce|Katrina Pearch|1967-09-08
Kimberly Williams-Paisley|Katrina Wilhelms-Palfrey|1971-09-14
King Ampaw|Kong Ampow|1940-07-25
King Donovan|Kong Donnervan|1918-01-25 – 1987-06-30
King Kong Bundy|Gorilla Bender|1955-11-07 – 2019-03-04
King Vidor|Kong Vader|1894-02-08 – 1982-11-01
Kingsley Ben-Adir|Kinlan Ben-Arid|1986-02-28
Kinji Fukasaku|Kiichi Fukiyura|1930-07-03 – 2003-01-12
Kip Pardue|Kyle Parden|1975-09-23
Kirk Acevedo|Kurt Avocado|1971-11-27
Kirk Douglas|Kurt Duckless|1916-12-09 – 2020-02-05
Kirk Jones|Kurt James|1964-10-31
Kirk Wise|Kurt Weise|1963-08-24
Kirsten Dunst|Kristin Duenst|1982-04-30
Kirsten Lehfeldt|Kristen Leifeld|1952-12-19
Kirsten Prout|Kristen Prud|1990-09-28
Kirstie Alley|Kristi Allen|1951-01-12 – 2022-12-05
KISS|K.Ü.S.S.|
Kit Dale|Kay Deal|1986
Kit Harington|Kay Heringson|1986-12-26
Kiti Mánver|Kira Marnel|1953-05-11
Kitty Winn|Kittie Weyn|1943-02-21
Kiyoshi Kurosawa|Kiyoto Kurosaki|1955-07-19
KJ Apa|JK Afa|1997-06-17
Klaus Gendries|Klaas Gendrings|1930-06-22 – 2023-11-07
Klaus Kinski|Klaas Klimski|1926-10-18 – 1991-11-23
Klaus Löwitsch|Kurt Löwesch|1936-04-08 – 2002-12-03
Klaus Maria Brandauer|Klaus Marlene Brandmauer|1943-06-22
Klaus Pohl|Kurt Puhl|1883-11-01 – 1958-11-28
Klaus Schwarzkopf|Kurt Schwarzhaupt|1922-12-18 – 1991-06-21
Klaus Teuber|Karl Stäuber|1952-06-25 – 2023-04-01
Klaus Wennemann|Claus Wannenmann|1940-12-18 – 2000-01-07
Klaus Überall|Kurt Überaus|1924-11-23 – 2008-10-29
Klausjürgen Wussow|Kurt Jürgen Wuffoff|1929-04-30 – 2007-06-19
Klostertaler|Klostertürmer|
Knut Hartwig|Kurt Harwig|1969-11-13
Knut Mahlke|Kurt Mühlke|1943
Kodi Smit-McPhee|Kody Smut-McPhey|1996-06-13
Kogonada|Koronada|19xx
Koji Yakusho|Koshi Yakumo|1956-01-01
Konstantin Graudus|Kristopher Graudes|1965-08-04
Koyuki|Kyoku|1976
Kraftwerk|Kraftwehr|
Kris Kristofferson|Karl Kartoffelson|1936-06-22 – 2024-09-28
Kris Lemche|Karl Lemmke|1978-02-23
Kris Pearn|Chris Peyrl|19xx
Kris Wu|Karl Woo|1990-11-06
Kristanna Loken|Kristinne Lurken|1979-10-08
Kristen Bell|Kirstin Yell|1980-07-18
Kristen Cloke|Kirstin Clane|1968-09-02
Kristen Connolly|Kirstin Collony|1980-07-12
Kristen Johnston|Kristin Jameston|1967-09-20
Kristen Schaal|Kirstin Schaar|1978-01-24
Kristen Stewart|Kirstin Stuart|1990-04-09
Kristen Wiig|Kirsten Wegg|1973-08-22
Kristen Wilson|Kirstin Wilton|1969-09-04
Kristin Davis|Kirsteen Davids|1965-02-23
Kristin Gore|Kirsten Goat|1977-06-05
Kristin Scott Thomas|Kirstin Scott Tobias|1960-05-24
Kristina Anapau|Kristine Anupai|1979-10-30
Kristina Marlen|Kristine Marling|19xx
Kristina Söderbaum|Kristine Sudderbaum|1912-09-05 – 2001-02-12
Kristina Wayborn|Kristine Weyburn|1950-09-24
Kristine DeBell|Karline DeBenn|1954-12-10
Kristine Froseth|Kristina Frohsat|1995-09-21
Kristine Peterson|Kristina P. Paulsen|1958-05-08
Kristine Rose|Karline Rosa|
Kristy McNichol|Kirstin MacNickle|1962-09-11
Kristy Swanson|Kristin Swansun|1969-12-19
Krystyna Stypułkowska|Katarzyna Sypniewska|1939 – 2020-10-20
Krzysztof Globisz|Krystian Globek|1957-01-16
Krzysztof Kieślowski|Krystian Kisielewski|1941-06-27 – 1996-03-13
Kumail Nanjiani|Kumran Nadari|1978-05-02
Kumiko Asō|Kyoko Asu|1978-06-17
Kun Chen|Kain Chan|1976-02-04
Kung-wei Lu|Kang-wei Lo|1967-04-26
Kunihiko Yuyama|Kunihiro Yuhara|1952-10-15
Kunio Katō|Kuzuo Katsu|1977-04-24
Kuniteru Shigeyama|Kumitaro Shigemoto|
Kurt Bülau|Curd Büller|1922-06-08 – 2016-06-13
Kurt Cobain|Karl Cocayne|1967-02-20 – 1994-04-05
Kurt Fuller|Kirk Filler|1953-09-16
Kurt Gerron|Knut Gerohm|1897-05-11 – 1944-10-30
Kurt Hoffmann|Knut Hoffstadt|1910-11-12 – 2001-06-25
Kurt McKinney|Kirk McKellan|1962-02-15
Kurt Meisel|Kurt Meysler|1912-08-18 – 1994-04-04
Kurt Nachmann|Knut Vormann|1915-05-13 – 1984-03-04
Kurt Neumann|Knut Neuheim|1908-04-05 – 1958-08-21
Kurt Russell|Kirk Ruessel|1951-03-17
Kurt Waitzmann|Kurd Weitzkopf|1905-01-30 – 1985-05-21
Kurt Wimmer|Karl Wimsen|1964
Kurtis Blow|Curtis Bluff|1959-08-09
Kurtwood Smith|Kirkwood Swift|1943-07-03
Kyle Allen|Keith Alley|1994-10-10
Kyle Balda|Ken Belder|1971-03-09
Kyle Catlett|Keith Catlight|2002-11-16
Kyle Chandler|Keith Candling|1965-09-17
Kyle Gallner|Kian Gallan|1986-10-22
Kyle Gass|Ken Goss|1960-07-14
Kyle MacLachlan|Kyle MacLachmann|1959-02-22
Kyle Newacheck|Ken Nevercheck|1984-01-23
Kylie Minogue|Kyra Minorgue|1968-05-28
Kylie Rogers|Kyra Richards|2004-02-18
Kyme|Kyne|1962-11-21
Kyra Sedgwick|Kayla Sedgway|1965-08-19
Kyung-pyo Ko|Kyun-min Ku|1990-06-11
Kyōko Koizumi|Kiyomi Kurosu|1966-02-04
Käthe Haack|Karla Haark|1897-08-11 – 1986-05-05
Kåre Hedebrant|Karel Hedengård|1995-06-28
Kôzô Kusuba|Kōyō Kusuda|1947-07-11 – 2018-03-20
Kôzô Morishita|Koson Morishima|
Kōichi Satō|Kota Seko|1960-12-10
Kōji Morimoto|Kōsei Morimura|1959-12-26
Kōji Seto|Kōsei Seda|1988-05-18
Kōji Shiraishi|Kōhei Shiratashi|1973-06-01
L. Q. Jones|Q. L. James|1927-08-19 – 2022-07-09
Lacey Chabert|Leslie Chabat|1982-09-30
Ladislao Vajda|Ladislav Vajna|1906-08-18 – 1965-03-25
Lady Gaga|Lady Gacka|1986-03-20
Lady Reed|Lady Weed|
Laetitia Casta|Letitia Casa|1978-05-11
Lafortune Joseph|Lafuente Joshua|
Laila Padotzke|Leila Padautzke|2004-12-25
Lainie Kazan|Leine Karam|1940-05-15
Lake Bell|Lana Yell|1979-03-24
LaKeith Stanfield|LaKent Stancefeld|1991-08-12
Lala Sloatman|Lele Sloatson|1970-10-12
Lambert Hillyer|Laurent Hellyea|1893-07-08 – 1969-07-05
Lambert Wilson|Laurent Wilton|1958-08-03
Lan Qin|Lar Qen|1979-07-17
Lana Del Rey|Lorna De Roy|1985-06-21
Lana Turner|Leah Toerner|1921-02-08 – 1995-06-29
Lana Wachowski|Lara Wachowicz|1965-06-21
Lana Wood|Leah Woolf|1946-03-01
Lance Guest|Liam Gast|1960-07-21
Lance Henriksen|Lance Hermansen|1940-05-05
Lance Kerwin|Lance Kehrlost|1960-11-06 – 2023-01-24
Lance Kinsey|Liam Kinter|1954-06-13
Lance Mungia|Logan Muria|1972
Lance Reddick|Liam Rednick|1962-06-07 – 2023-03-17
Lando Buzzanca|Leo Bussanti|1935-08-24 – 2022-12-18
Lang Elliott|Lonn Ellison|
Langley Kirkwood|Landon Kirkwald|1973-04-14
Lar Park-Lincoln|Lan Park-Lintcold|1961-05-12 – 2025-04-22
Lara Flynn Boyle|Laura Flynn Beule|1970-03-24
Lara Harris|Lana Harrels|1962-08-22
Lara Pulver|Lana Puder|1980-09-01
Lara Robinson|Lana Robensen|1998-01-01
Lara Rossi|Laura Rusen|
Larenz Tate|Lorenz Taint|1975-09-08
Larisa Oleynik|Larisa Oleksin|1981-06-07
Larisa Tarkovskaya|Lina Charkovskaya| – 1998-01-19
Larry Charles|Lenny Carles|1956-02-20
Larry Cohen|Gary Cohab|1936-07-15 – 2019-03-23
Larry David|Lenny Davy|1947-07-02
Larry Drake|Lenny Drach|1950-02-21 – 2016-03-17
Larry Gates|Lenny Bates|1915-09-24 – 1996-12-12
Larry Hagman|Leo Hogman|1931-09-21 – 2012-11-23
Larry Hankin|Gary Hanker|1937-12-07
Larry Keating|Lenny Keaton|1899-06-13 – 1963-08-26
Larry Manetti|Lenny Minotti|1947-07-23
Larry Miller|Lenny Mueller|1953-10-15
Larry Peerce|Lenny Pearse|1930-04-19
Larry Pennell|Lenny Pannel|1928-02-21 – 2013-08-28
Larry Pfohl|Lenny Pfahl|1958-06-21
Larry Revene|Harry Raviney|1942-08-29
Larry the Cable Guy|Lenny the Cable Gent|1963-02-17
Lars Ranthe|Leif Runthe|1969-08-26
Lars Rudolph|Lutz Rupert|1966-08-18
Lars von Trier|Leif vom Tier|1956-04-30
Lashana Lynch|Lashina Lunch|1987
Lasse Hallström|Lester Mallström|1946-06-02
Lasse Spang Olsen|Lars E. Spang Olsson|1965-04-23
Lassie|Leslie|
Laura Albert|Lara Alfred|
Laura Antonelli|Lara Antonietti|1941-11-28 – 2015-06-22
Laura Benanti|Lara Benari|1979-07-23
Laura Betti|Lara Bessi|1934-05-01 – 2004-07-31
Laura Carmichael|Lauren Carmitchell|1986-07-16
Laura Dean|Lara Dane|1963-05-27
Laura del Sol|Lara del Astro|1961-11-27
Laura Dern|Lara Derm|1967-02-10
Laura Donnelly|Lauren Dunnerly|1982-08-20
Laura Gemser|Lara Gamser|1950-10-05
Laura Haddock|Lauren Hamlock|1985-08-21
Laura Harrier|Linda Hawker|1990-03-28
Laura Harring|Lara Harron|1964-03-03
Laura Harrington|Lara Harrelson|1958-04-29
Laura Harris|Linda Harrels|1976-11-20
Laura Hope Crews|Lana Hope Cruels|1879-12-12 – 1942-11-12
Laura Kariuki|Lauren Kamiuri|1998-06-21
Laura Linney|Lara Lunnmay|1964-02-05
Laura Poitras|Lara Poltris|1964-02-02
Laura Regan|Lara Reagen|1977-10-17
Laura San Giacomo|Linda San Georgio|1962-11-14
Laura Tonke|Linda Tanke|1974-04-14
Laura Vandervoort|Lara Vondervaart|1984-09-22
Laura Vasiliu|Lauren Velicu|1976-01-25
Lauren Ambrose|Laura Almose|1978-02-20
Lauren Bacall|Lauryn Becell|1924-09-16 – 2014-08-12
Lauren Bittner|Laura Bittrich|1980-07-22
Lauren Cohan|Lauryn Cofane|1982-01-07
Lauren Faust|Lorraine Fautz|1974-07-25
Lauren German|Lauryn Germayne|1978-11-29
Lauren Graham|Lauryn Garrett|1967-03-16
Lauren Holly|Lorraine Halli|1963-10-28
Lauren Hutton|Lauryn Huette|1943-11-17
Lauren Lapkus|Lauryn Lapsus|1985-09-06
Lauren LaVera|Laura LaVeren|1994-06-14
Lauren Ridloff|Laura Ridlon|1978-04-06
Lauren Tom|Lauryn Tim|1970-03-29
Lauren Vélez|Lauryn Velas|1964-11-02
Lauren Woodland|Lauryn Waldland|1977-10-28
Laurence Fishburne|Lawrence Piscburn|1961-07-30
Laurence Harvey|Lawrence Howard|1928-10-01 – 1973-11-25
Laurence Luckinbill|Lawrence Luckerbell|1934-11-21
Laurence Naismith|Lawrence Nayswift|1908-12-14 – 1992-06-05
Laurence Olivier|Lawrence Olivienne|1907-05-22 – 1989-07-11
Laurent Bouhnik|Lambert Bournel|1961-04-07
Laurent Cantet|Lambert Cantrel|1961-04-11 – 2024-04-25
Laurent Lucas|Lambert Luka|1965-07-20
Laurent Stocker|Lambert Streckner|1973-05-23
Laurent Tirard|Lambert Tirlen|1967-02-18 – 2024-09-05
Laurette Spang-McCook|Laurene Spong-McCork|1951-05-16
Laurie Bartram|Lara Bartry|1958-05-16 – 2010-06-28
Laurie Davidson|Lauri Davisen|1992
Laurie Holden|Lauren Holding|1969-12-17
Laurie Metcalf|Lara Maltcaf|1955-06-16
Laurits Munch-Petersen|Lauritz Mulch-Paulesen|1973-07-19
Laverne Cox|LaVerne Cux|1972-05-29
Lawrence Guterman|Laurence Besterman|1966-07-18
Lawrence Hilton Jacobs|Laurence Hilton Josephs|1953-09-04
Lawrence Kasdan|Laurence Kasten|1949-01-14
Lawrence Monoson|Terence Monosing|1964-08-11
Lawrence Ng Kai-wah|Laurence Ngi Kan-wu|1964-05-19
Lay Zhang|Lau Zheng|1991-10-07
Lazar Ristovski|Leon Ristović|1952-10-26
Lea Thompson|Leah Thumpsen|1961-05-31
Lea van Acken|Leah van Anken|1999-02-20
Leah Ayres|Lena Ayles|1957-05-28
